"";"sat";"tothrs";"hsize";"hsrank";"hsperc";"colgpa";"athlete";"female";"white";"black";"gpaletter"
"1";920;43;0,1;4;40;2,04;"TRUE";"TRUE";"FALSE";"FALSE";"C"
"2";980;114;2,6800001;41;15,2985068918468;3,03;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"3";1140;78;3,3399999;95;28,4431146240453;2,98;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"4";1150;43;3,5899999;13;3,62117001730279;2,9300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"5";990;64;1,92;51;26,5625;2,21;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"6";1000;45;3,6900001;29;7,85907837780275;3,3299999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"7";1050;14;2,6600001;134;50,3759379557918;1,0700001;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"8";1160;41;1,45;99;68,2758620689655;2,29;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"9";1030;110;3,8599999;81;20,984456502188;2,6500001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"10";920;115;2,1700001;65;29,9539156703265;2,6400001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"11";840;96;2,3399999;141;60,2564128314706;2,1800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"12";1150;100;5,9499998;301;50,5882369945626;2,8399999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"13";970;17;4,3600001;41;9,40366950909015;2,29;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"14";1200;39;4,8899999;209;25,7389165731394;2,3800001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"15";1090;118;0,60000002;2;3,33333322222223;3,9200001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"16";740;12;5,3200002;390;73,3082679207418;1,33;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"17";820;16;3,9000001;102;26,1538454832347;3;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"18";870;13;1,86;86;46,2365591397849;2,0699999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"19";1020;103;0,1;2;20;2,9100001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"20";960;16;0,1;5;50;3,25;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"21";880;14;0,029999999;1;33,3333344444445;1,92;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"22";1010;17;0,28;2;7,14285714285714;3,5799999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"23";930;15;3,72;67;18,010752688172;3,46;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"24";1120;79;4,6999998;78;16,595745387053;3;"FALSE";"TRUE";"FALSE";"FALSE";"B"
"25";1090;113;3,6400001;50;13,7362633588939;3,6099999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"26";820;47;6,3400002;68;10,7255517121277;3,25;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"27";1080;13;0,1;7;70;2,3;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"28";850;48;3,0999999;54;17,4193554006244;3,27;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"29";850;15;0,73000002;5;6,84931488084069;2,6600001;"TRUE";"TRUE";"TRUE";"FALSE";"B"
"30";880;43;4,0700002;70;17,1990163538567;2,3699999;"TRUE";"TRUE";"TRUE";"FALSE";"C"
"31";1280;55;2,03;3;1,47783251231527;3,8699999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"32";1260;13;2,1700001;5;2,30414735925588;4;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"33";930;12;3,25;26;8;1,75;"FALSE";"TRUE";"FALSE";"FALSE";"C"
"34";820;13;3,03;147;48,5148514851485;1,84;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"35";770;15;1;30;30;2,1300001;"FALSE";"TRUE";"FALSE";"FALSE";"C"
"36";1110;122;2,04;9;4,41176470588235;3,3599999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"37";1090;20;1,87;6;3,20855614973262;3,7;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"38";1040;54;3,55;82;23,0985915492958;2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"39";1340;81;1,11;15;13,5135135135135;3,6900001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"40";1190;77;4,2399998;26;6,13207576094697;3,4000001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"41";990;16;2,51;39;15,5378486055777;1,4299999;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"42";1160;50;3,72;79;21,2365591397849;2,78;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"43";1120;49;0,1;1;10;3,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"44";1010;15;3,1900001;157;49,2162993976082;1,9299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"45";1200;16;4,3200002;209;48,3796273898321;3,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"46";720;16;4,3000002;230;53,4883696051921;1,9299999;"TRUE";"TRUE";"FALSE";"FALSE";"C"
"47";970;14;3,4100001;116;34,0175943103345;2,9200001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"48";1210;17;5,1100001;1;0,195694712413019;3,52;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"49";960;45;0,1;3;30;3,02;"TRUE";"TRUE";"TRUE";"FALSE";"B"
"50";960;79;0,74000001;7;9,45945933162893;2,3399999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"51";990;14;3,05;3;0,983606557377049;4;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"52";1130;18;2,3499999;91;38,7234059031237;1,33;"FALSE";"TRUE";"TRUE";"FALSE";"D"
"53";1060;15;2,3499999;44;18,7234050520598;2,5999999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"54";970;46;4,0999999;113;27,560976281975;2,73;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"55";1140;16;2,1700001;34;15,66820204294;1,9299999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"56";1120;41;3,28;152;46,3414634146341;1,75;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"57";1100;18;0,1;4;40;2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"58";1220;110;0,1;5;50;3,05;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"59";1030;15;1,36;4;2,94117647058824;2,73;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"60";930;44;2,71;40;14,760147601476;2,5;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"61";1030;43;3,0799999;62;20,1298707834374;2,6900001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"62";1000;50;1,78;23;12,9213483146067;3,46;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"63";1190;17;1,78;40;22,4719101123595;3,6400001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"64";1240;16;2,9400001;41;13,9455777569531;3,4300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"65";950;115;2,1199999;70;33,0188694820221;2,24;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"66";1180;117;2,5599999;94;36,7187514343262;3,29;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"67";1040;69;0,1;4;40;2,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"68";1010;16;1,95;36;18,4615384615385;2,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"69";1110;45;0,47999999;20;41,6666675347222;3,77;"TRUE";"TRUE";"TRUE";"FALSE";"A"
"70";1290;93;2,3099999;1;0,432900451640712;3,4300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"71";1120;41;3,4400001;8;2,32558132774473;3,6800001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"72";990;16;4,0100002;94;23,4413953395813;2,9300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"73";840;16;0,47999999;32;66,6666680555556;2,1199999;"TRUE";"TRUE";"TRUE";"FALSE";"C"
"74";1050;45;5,5;39;7,09090909090909;3,6600001;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"75";1000;50;5,5;117;21,2727272727273;2,48;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"76";1020;81;4,6300001;28;6,04751606808821;2,97;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"77";960;48;5,5;163;29,6363636363636;1,7;"FALSE";"TRUE";"FALSE";"FALSE";"C"
"78";890;75;3,96;451;58,7239598626031;1,98;"TRUE";"TRUE";"TRUE";"FALSE";"C"
"79";1140;32;1,61;4;2,48447204968944;3,3699999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"80";1050;116;6;21;3,5;3,5599999;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"81";1120;73;4,6300001;42;9,07127410213231;2,23;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"82";1060;126;1,52;21;13,8157894736842;3,1099999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"83";1070;48;5,1199999;70;13,6718752670288;2,75;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"84";1130;42;3,6099999;60;16,6204990753601;2,02;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"85";1120;58;3,53;29;8,21529745042493;3,1300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"86";1020;78;5,8000002;22;3,7931033174792;2,8699999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"87";810;16;6,4699998;69;10,6646062029245;2,4300001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"88";940;15;2,3399999;14;5,98290623858574;3,0599999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"89";880;16;3,21;51;15,8878504672897;2,75;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"90";1150;106;4;1;0,25;4;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"91";1140;47;1,59;4;2,51572327044025;3,4200001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"92";1110;46;0,039999999;2;50,00000125;2,6700001;"TRUE";"TRUE";"TRUE";"FALSE";"B"
"93";1090;83;3,6400001;33;9,06593381686995;2,6700001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"94";960;35;3,71;110;29,6495956873315;2,05;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"95";980;41;0,1;6;60;2,3099999;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"96";1110;15;3,96;46;11,6161616161616;2,9300001;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"97";890;15;3,96;100;25,2525252525253;2,2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"98";780;14;6,54;81;12,3853211009174;2,8499999;"TRUE";"TRUE";"FALSE";"FALSE";"B"
"99";1230;97;3,3900001;13;3,83480814646584;2,1600001;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"100";1160;18;1,9400001;4;2,06185556382188;3,55;"FALSE";"TRUE";"TRUE";"FALSE";"A"
"101";1020;41;2,52;56;22,2222222222222;2,46;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"102";1110;129;0,1;4;40;2,2;"FALSE";"TRUE";"TRUE";"FALSE";"C"
"103";910;117;5;122;24,4;3,03;"FALSE";"TRUE";"TRUE";"FALSE";"B"
"104";1140;46;5,9400001;47;7,91245777925155;3,3199999;"FALSE";"TRUE";"TRUE";"FALSE";"B"
